Publication Number,User Label,Publication Date,,Strength,Ultimate Parent
EP0648433,soy/texture,4/17/96,1996,0,"Mondelez International, Inc."
EP0631477,Application/Dairy Products,9/4/96,1996,20,Unilever N.v.
EP0630190,,5/17/95,1995,0,Abbott Laboratories
EP0627883,Application/Dairy Products,7/31/96,1996,10,Unilever N.v.
WO9427628,application/infant,12/8/94,1994,30,Abbott Laboratories
EP0626175,application/infant,5/6/99,1999,80,Abbott Laboratories
EP0626176,application/infant,11/17/99,1999,60,Abbott Laboratories
EP0626177,application/infant,12/1/99,1999,80,Abbott Laboratories
WO9425580,Application/Meat Products,11/10/94,1994,50,Novo Nordisk Fonden
EP0620980,soy/texture,7/7/99,1999,40,Nestle Sa
WO9423022,,10/13/94,1994,40,Novo Nordisk Fonden
EP0617580,soy/solubilize,7/1/98,1998,10,Abbott Laboratories
WO9420612,soy/solubilize,9/15/94,1994,40,Novo Nordisk Fonden
EP0608712,application/dressing,6/11/97,1997,70,Nestle Sa
WO9415477,Application/Dairy Products,7/21/94,1994,20,Unilever N.v.
WO9414458,application/infant,7/7/94,1994,60,Abbott Laboratories
EP0593292,soy/texture,6/9/99,1999,50,"Protein Polymer Technologies, Inc."
EP0591277,application/infant,10/16/96,1996,10,Abbott Laboratories
EP0565260,Application/Weight Control,10/13/93,1993,20,"Mondelez International, Inc."
WO9313675,Application/Dairy Products,7/22/93,1993,0,Unilever N.v.
EP0547647,application/dressing,6/23/93,1993,50,Unilever N.v.
EP0541248,application/confection,5/12/93,1993,0,Monsanto Company
EP0517458,Application/Meat Products,12/9/92,1992,0,"Protein Polymer Technologies, Inc."
WO9215696,Application/Meat Products,9/17/92,1992,10,Novo Nordisk Fonden
EP0501117,soy/solubilize,9/2/92,1992,20,Abbott Laboratories
WO9213964,,8/20/92,1992,0,Novo Nordisk Fonden
WO9211771,soy/solubilize,7/23/92,1992,30,Novo Nordisk Fonden
EP0480104,soy/solubilize,4/15/92,1992,40,"Protein Polymer Technologies, Inc."
EP0479596,,4/8/92,1992,50,"Cargill, Incorporated"
EP0471153,application/infant,2/19/92,1992,0,Abbott Laboratories
EP0469656,Application/Dairy Products,2/5/92,1992,40,Unilever N.v.
EP0459566,Application/Meat Products,12/4/91,1991,30,Unilever N.v.
EP0457002,Application/Dairy Products,11/21/91,1991,0,Nestle Sa
WO9114376,application/confection,10/3/91,1991,30,"Mondelez International, Inc."
WO9113554,soy/solubilize,9/19/91,1991,50,Novo Nordisk Fonden
EP0437523,Application/Meat Products,7/24/91,1991,0,Novo Nordisk Fonden
WO9109597,application/infant,7/11/91,1991,10,Novo Nordisk Fonden
EP0420314,Application/Dairy Products,4/3/91,1991,0,Unilever N.v.
EP0417481,application/soy sauce,3/20/91,1991,40,Nestle Sa
EP0405987,,1/2/91,1991,0,"Protein Polymer Technologies, Inc."
EP0404216,Application/Dairy Products,12/27/90,1990,10,The Procter & Gamble Company
EP0402987,Application/Dairy Products,12/19/90,1990,0,The Procter & Gamble Company
EP0400714,Application/Meat Products,12/5/90,1990,20,Unilever N.v.
EP0395865,application/infant,11/7/90,1990,10,Nestle Sa
EP0386817,Application/Dairy Products,9/12/90,1990,10,Unilever N.v.
EP0385266,soy/texture,9/5/90,1990,20,Nestle Sa
EP0379747,Application/Dairy Products,8/1/90,1990,20,Unilever N.v.
WO9005462,soy/deflavor,5/31/90,1990,0,Novo Nordisk Fonden
WO9004009,Application/Meat Products,4/19/90,1990,0,Novo Nordisk Fonden
EP0355058,Application/Dairy Products,2/21/90,1990,10,Unilever N.v.
EP0352062,soy/deflavor,1/24/90,1990,20,"Protein Polymer Technologies, Inc."
EP0342972,application/infant,11/23/89,1989,20,The Procter & Gamble Company
EP0338787,,10/25/89,1989,40,"Mondelez International, Inc."
WO8905587,application/confection,7/27/89,1989,60,Monsanto Company
EP0298561,application/confection,1/11/89,1989,60,Unilever N.v.
EP0297690,Application/Dairy Products,1/4/89,1989,50,Unilever N.v.
EP0294964,Application/Meat Products,12/14/88,1988,20,"Mondelez International, Inc."
WO2006093955,Application/Meat Products,9/8/06,2006,0,E.i. Du Pont De Nemours & Company
WO2006102353,soy/solubilize,9/28/06,2006,0,E.i. Du Pont De Nemours & Company
WO2006102382,application/athletic,9/28/06,2006,0,E.i. Du Pont De Nemours & Company
EP1197154,soy/solubilize,4/17/02,2002,40,Archer Daniels Midland Company
EP1187538,application/pasta,5/24/06,2006,30,Nestle Sa
EP1188767,,3/20/02,2002,30,"Mondelez International, Inc."
EP1182937,Application/Meat Products,3/6/02,2002,0,Mars Inc
EP1181869,soy/solubilize,2/27/02,2002,30,E.i. Du Pont De Nemours & Company
EP1180332,,2/20/02,2002,40,E.i. Du Pont De Nemours & Company
EP1176881,Application/Meat Products,9/22/04,2004,40,Nestle Sa
WO0201963,soy/solubilize,1/10/02,2002,0,Nestle Sa
WO0200033,application/confection,1/3/02,2002,30,Nestle Sa
EP1166643,soy/solubilize,1/2/02,2002,20,Archer Daniels Midland Company
EP1151673,application/confection,11/7/01,2001,60,Nestle Sa
EP1147709,Application/Meat Products,10/24/01,2001,50,E.i. Du Pont De Nemours & Company
EP1145642,soy/solubilize,10/17/01,2001,0,"Protein Polymer Technologies, Inc."
EP1145648,soy/deflavor,10/17/01,2001,10,"Mondelez International, Inc."
EP1142481,Application/Dairy Products,9/28/05,2005,80,"Ajinomoto Co., Inc."
EP1142485,soy/solubilize,12/19/01,2001,40,Novo Nordisk Fonden
EP1142494,application/athletic,10/10/01,2001,50,"Mondelez International, Inc."
EP1135993,soy/solubilize,2/5/03,2003,20,E.i. Du Pont De Nemours & Company
EP1132010,soy/deflavor,2/16/05,2005,80,E.i. Du Pont De Nemours & Company
EP1129626,soy/deflavor,9/5/01,2001,60,E.i. Du Pont De Nemours & Company
EP1129629,Application/Meat Products,9/5/01,2001,10,E.i. Du Pont De Nemours & Company
EP1119262,Application/Meat Products,8/1/01,2001,0,Monsanto Company
EP1119264,Application/Meat Products,3/30/05,2005,40,Mars Inc
EP1112006,application/athletic,7/4/01,2001,0,Abbott Laboratories
EP1109460,application/dressing,4/5/06,2006,40,Nestle Sa
EP1106071,Application/Dairy Products,6/13/01,2001,30,"Mondelez International, Inc."
EP1106174,application/confection,4/6/05,2005,90,Koninklijke Dsm Nv
WO0139607,soy/solubilize,6/7/01,2001,0,Koninklijke Dsm Nv
WO0135756,Application/Dairy Products,5/25/01,2001,20,Unilever N.v.
WO0122829,Application/Dairy Products,4/5/01,2001,10,Archer Daniels Midland Company
WO0122830,Application/Dairy Products,4/5/01,2001,30,Archer Daniels Midland Company
WO0119972,,3/22/01,2001,0,Unilever N.v.
EP1079694,soy/deflavor,8/3/05,2005,50,"Cargill, Incorporated"
EP1061816,,10/17/01,2001,30,Mars Inc
EP1061817,,12/8/04,2004,30,Nestle Sa
WO0072700,application/infant,12/7/00,2000,0,Nestle Sa
EP1054978,soy/solubilize,11/29/00,2000,0,Koninklijke Dsm Nv
WO0069276,Application/Meat Products,11/23/00,2000,60,Mars Inc
WO0065937,Application/Meat Products,11/9/00,2000,50,Nestle Sa
WO0064272,application/confection,11/2/00,2000,20,"General Mills, Inc."
WO0064276,Application/Athletic,11/2/00,2000,10,Unilever N.v.
EP1046396,application/athletic,10/15/03,2003,70,Archer Daniels Midland Company
WO0056175,,9/28/00,2000,30,Monsanto Company
WO0056176,application/dressing,9/28/00,2000,40,Monsanto Company
EP1038531,Application/Weight Control,9/27/00,2000,0,"Ajinomoto Co., Inc."
EP1031284,soy/deflavor,8/30/00,2000,0,"Fuji Oil Co., Ltd."
EP1007691,application/infant,9/22/04,2004,50,Monsanto Company
EP1008305,,6/14/00,2000,10,Nestle Sa
EP0994657,application/infant,1/28/04,2004,40,Abbott Laboratories
EP0993781,application/infant,4/19/00,2000,0,Nestle Sa
WO0011966,,3/9/00,2000,10,Nestle Sa
WO0008943,soy/deflavor,2/24/00,2000,0,"Fuji Oil Co., Ltd."
EP0979038,application/confection,2/16/00,2000,10,Mars Inc
EP0975235,application/infant,5/24/06,2006,50,Abbott Laboratories
EP0975766,application/infant,12/21/05,2005,70,Monsanto Company
EP0973406,,1/8/03,2003,70,The Procter & Gamble Company
EP0973411,soy/deflavor,9/21/05,2005,80,Monsanto Company
EP0973413,application/infant,7/28/04,2004,20,Abbott Laboratories
EP0969736,,6/28/06,2006,70,Novo Nordisk Fonden
EP0970620,application/soy sauce,6/30/04,2004,80,Unilever N.v.
WO0000043,application/athletic,1/6/00,2000,60,Abbott Laboratories
EP0967891,application/pasta,8/18/04,2004,60,E.i. Du Pont De Nemours & Company
EP0967892,Soy/Defatting,12/29/04,2004,60,Koninklijke Dsm Nv
WO9965321,application/confection,12/23/99,1999,70,"General Mills, Inc."
WO9963836,application/confection,12/16/99,1999,0,"General Mills, Inc."
EP0961552,application/infant,6/16/04,2004,40,Nestle Sa
EP0959692,,7/2/03,2003,20,Mars Inc
WO9959418,soy/deflavor,11/25/99,1999,20,"Cargill, Incorporated"
WO9956561,soy/deflavor,11/11/99,1999,20,Mars Inc
WO9956563,application/athletic,11/11/99,1999,50,Abbott Laboratories
WO9956564,application/infant,11/11/99,1999,10,Abbott Laboratories
WO9957255,application/infant,11/11/99,1999,20,Novo Nordisk Fonden
EP0953289,application/confection,11/3/99,1999,50,"Protein Polymer Technologies, Inc."
WO9951114,application/infant,10/14/99,1999,30,Nestle Sa
EP0946106,soy/deflavor,5/29/02,2002,40,Koninklijke Dsm Nv
EP0943245,soy/solubilize,9/22/99,1999,70,Archer Daniels Midland Company
WO9945797,application/confection,9/16/99,1999,60,Mars Inc
WO9941386,,8/19/99,1999,10,Koninklijke Dsm Nv
EP0935426,,8/18/04,2004,40,Novo Nordisk Fonden
WO9937167,application/infant,7/29/99,1999,10,Abbott Laboratories
EP0925723,,4/2/03,2003,90,"Cargill, Incorporated"
WO9930578,Application/Dairy Products,6/24/99,1999,60,Monsanto Company
WO9922607,soy/deflavor,5/14/99,1999,30,"General Mills, Inc."
EP0906029,Application/Meat Products,8/14/02,2002,30,E.i. Du Pont De Nemours & Company
EP0903143,Soy/Defatting,5/6/99,1999,0,"Protein Polymer Technologies, Inc."
EP0897003,application/infant,5/12/04,2004,40,Nestle Sa
WO9902691,,1/21/99,1999,10,Nestle Sa
WO9901044,application/infant,1/14/99,1999,50,Abbott Laboratories
WO9856260,,12/17/98,1998,60,E.i. Du Pont De Nemours & Company
WO9852427,Application/Athletic,11/26/98,1998,10,Mars Inc
WO9846763,application/infant,10/22/98,1998,60,Monsanto Company
WO9846765,application/infant,10/22/98,1998,60,Monsanto Company
WO9844807,,10/15/98,1998,60,Monsanto Company
WO9843494,application/infant,10/8/98,1998,20,Abbott Laboratories
WO9843495,application/infant,10/8/98,1998,0,Abbott Laboratories
EP0865738,,9/23/98,1998,0,Koninklijke Dsm Nv
WO9839980,application/infant,9/17/98,1998,40,Abbott Laboratories
WO9834495,application/dressing,8/13/98,1998,50,The Procter & Gamble Company
WO9831240,,7/23/98,1998,30,Nestle Sa
WO9820751,application/infant,5/22/98,1998,10,Abbott Laboratories
WO9818342,soy/solubilize,5/7/98,1998,20,Novo Nordisk Fonden
WO9818343,soy/solubilize,5/7/98,1998,10,Novo Nordisk Fonden
WO9817127,Application/Dairy Products,4/30/98,1998,0,Novo Nordisk Fonden
EP0835612,application/confection,3/10/04,2004,90,Nestle Sa
WO9812209,soy/deflavor,3/26/98,1998,20,Novo Nordisk Fonden
WO9810665,soy/solubilize,3/19/98,1998,50,Abbott Laboratories
WO9804157,application/infant,2/5/98,1998,10,Abbott Laboratories
WO9803075,application/confection,1/29/98,1998,10,Mars Inc
WO9803076,application/confection,1/29/98,1998,50,Mars Inc
EP0814675,application/infant,5/28/03,2003,40,Abbott Laboratories
WO9743910,,11/27/97,1997,60,Novo Nordisk Fonden
WO9737547,Application/Meat Products,10/16/97,1997,40,E.i. Du Pont De Nemours & Company
EP0797927,soy/solubilize,10/18/00,2000,60,"Fuji Oil Co., Ltd."
EP0797928,Soy/Defatting,11/10/99,1999,60,"Fuji Oil Co., Ltd."
EP0795553,soy/solubilize,1/9/02,2002,80,Archer Daniels Midland Company
WO9731544,application/pasta,9/4/97,1997,20,"Mondelez International, Inc."
WO2005096835,,10/20/05,2005,30,"Cargill, Incorporated"
WO2005094604,soy/solubilize,10/13/05,2005,0,"Cargill, Incorporated"
WO2005094606,soy/deflavor,10/13/05,2005,10,"Cargill, Incorporated"
EP1582103,soy/deflavor,10/5/05,2005,0,"Ajinomoto Co., Inc."
EP1579772,Application/Weight Control,9/28/05,2005,0,"Ajinomoto Co., Inc."
WO2005074700,application/confection,8/18/05,2005,0,Archer Daniels Midland Company
WO2005074719,application/infant,8/18/05,2005,0,Nestle Sa
WO2005070223,soy/deflavor,8/4/05,2005,0,Novo Nordisk Fonden
WO2005070231,application/soy sauce,8/4/05,2005,0,"Ajinomoto Co., Inc."
EP1544276,soy/solubilize,6/22/05,2005,0,"Fuji Oil Co., Ltd."
EP1541035,soy/solubilize,6/15/05,2005,20,E.i. Du Pont De Nemours & Company
EP1537787,,6/8/05,2005,30,"Fuji Oil Co., Ltd."
EP1533369,Application/Dairy Products,5/25/05,2005,10,Nestle Sa
EP1527692,Application/Dairy Products,5/4/05,2005,0,"Mondelez International, Inc."
EP1527700,,5/4/05,2005,50,"Cargill, Incorporated"
EP1527701,Application/Meat Products,5/4/05,2005,10,"Mondelez International, Inc."
EP1528068,soy/deflavor,5/4/05,2005,10,"Fuji Oil Co., Ltd."
WO2005034645,application/athletic,4/21/05,2005,40,"Cargill, Incorporated"
EP1518464,application/confection,3/30/05,2005,40,Mars Inc
WO2005025334,application/infant,3/24/05,2005,10,Abbott Laboratories
WO2005023017,Application/Weight Control,3/17/05,2005,30,Unilever N.v.
WO2005023018,,3/17/05,2005,10,Unilever N.v.
EP1512324,soy/deflavor,3/9/05,2005,10,"Mondelez International, Inc."
EP1512325,application/confection,3/9/05,2005,30,"Mondelez International, Inc."
EP1512326,soy/deflavor,3/9/05,2005,10,"Mondelez International, Inc."
EP1512328,application/dressing,3/9/05,2005,20,"Mondelez International, Inc."
WO2005018343,application/infant,3/3/05,2005,10,Abbott Laboratories
WO2005013706,soy/deflavor,2/17/05,2005,0,Unilever N.v.
WO2005013708,,2/17/05,2005,40,Koninklijke Dsm Nv
EP1501370,soy/solubilize,2/2/05,2005,0,E.i. Du Pont De Nemours & Company
EP1499203,,1/26/05,2005,0,E.i. Du Pont De Nemours & Company
WO2005002366,application/confection,1/13/05,2005,30,Unilever N.v.
WO2005002602,application/infant,1/13/05,2005,0,Nestle Sa
WO2005000904,,1/6/05,2005,10,"Cargill, Incorporated"
EP1493337,Application/Meat Products,1/5/05,2005,0,E.i. Du Pont De Nemours & Company
EP1489918,soy/solubilize,12/29/04,2004,0,E.i. Du Pont De Nemours & Company
EP1491557,,12/29/04,2004,30,"Cargill, Incorporated"
WO2004113570,,12/29/04,2004,60,Mars Inc
WO2004110168,application/dressing,12/23/04,2004,50,"Pepsico, Inc."
WO2004110173,application/infant,12/23/04,2004,10,Abbott Laboratories
WO2004111220,application/infant,12/8/05,2005,50,Novo Nordisk Fonden
EP1488708,soy/texture,12/22/04,2004,50,E.i. Du Pont De Nemours & Company
WO2004107883,application/dressing,12/16/04,2004,20,"Cargill, Incorporated"
EP1482810,soy/solubilize,12/8/04,2004,0,E.i. Du Pont De Nemours & Company
EP1477073,soy/solubilize,11/17/04,2004,0,"Ajinomoto Co., Inc."
WO2004091305,application/confection,10/28/04,2004,10,"Cargill, Incorporated"
WO2004091314,application/pasta,10/28/04,2004,50,Archer Daniels Midland Company
WO2004086880,,10/14/04,2004,0,Kikkoman Corporation
WO2004082392,application/confection,9/30/04,2004,10,"Mondelez International, Inc."
WO2004082697,Application/Weight Control,9/30/04,2004,0,Unilever N.v.
EP1459635,Application/Meat Products,9/22/04,2004,10,E.i. Du Pont De Nemours & Company
WO2004073421,Application/Athletic,9/2/04,2004,0,Unilever N.v.
EP1452098,Application/Athletic,9/1/04,2004,10,Unilever N.v.
WO2004071218,,8/26/04,2004,10,Koninklijke Dsm Nv
WO2004071489,application/confection,8/26/04,2004,10,Mars Inc
EP1439761,Soy/Defatting,7/28/04,2004,0,Nestle Sa
WO2004056207,soy/deflavor,7/8/04,2004,20,Unilever N.v.
WO2004054371,application/infant,7/1/04,2004,0,Nestle Sa
EP1430793,soy/deflavor,6/23/04,2004,0,"Mondelez International, Inc."
EP1427293,,6/16/04,2004,0,Nestle Sa
EP1428440,soy/solubilize,6/16/04,2004,10,"Ajinomoto Co., Inc."
EP1424908,,6/9/04,2004,0,The Procter & Gamble Company
WO2004045298,application/infant,6/3/04,2004,10,Unilever N.v.
WO2004045301,Application/Meat Products,6/3/04,2004,10,Mars Inc
WO2004045313,,6/3/04,2004,20,Nestle Sa
WO2004040991,application/confection,5/21/04,2004,20,"Cargill, Incorporated"
WO2004041251,application/confection,5/21/04,2004,60,Koninklijke Dsm Nv
EP1419698,application/infant,5/19/04,2004,70,Unilever N.v.
EP1416811,application/infant,5/12/04,2004,0,Nestle Sa
EP1414314,Soy/Defatting,5/6/04,2004,0,Unilever N.v.
WO2004037020,soy/solubilize,5/6/04,2004,0,E.i. Du Pont De Nemours & Company
WO2004034816,,4/29/04,2004,0,Mars Inc
WO2004032653,application/infant,4/22/04,2004,40,Abbott Laboratories
WO2004028281,application/infant,4/8/04,2004,50,Nestle Sa
WO2004026042,soy/texture,4/1/04,2004,40,"Pepsico, Inc."
WO2004026287,application/athletic,4/1/04,2004,40,Nestle Sa
EP1402790,Application/Meat Products,5/6/04,2004,20,Nestle Sa
WO2004023887,soy/texture,3/25/04,2004,20,Nestle Sa
WO2004023896,application/infant,3/25/04,2004,0,Abbott Laboratories
WO2004019695,soy/solubilize,3/11/04,2004,0,"Fuji Oil Co., Ltd."
WO2004016097,Application/Meat Products,2/26/04,2004,50,Mars Inc
EP1389429,Application/Dairy Products,2/18/04,2004,0,"Mondelez International, Inc."
WO2004013170,soy/solubilize,2/12/04,2004,0,"Fuji Oil Co., Ltd."
WO2004011015,application/athletic,2/5/04,2004,0,"Pepsico, Inc."
WO2004011016,application/athletic,2/5/04,2004,0,"Pepsico, Inc."
WO2004008873,soy/texture,1/29/04,2004,20,E.i. Du Pont De Nemours & Company
WO2004002238,,1/8/04,2004,30,Nestle Sa
EP1370157,Application/Meat Products,12/17/03,2003,0,E.i. Du Pont De Nemours & Company
EP1351584,application/infant,10/15/03,2003,0,Nestle Sa
WO03075669,Application/Dairy Products,11/27/03,2003,20,E.i. Du Pont De Nemours & Company
EP1342548,application/confection,9/10/03,2003,60,"General Mills, Inc."
EP1337157,application/infant,2/22/06,2006,30,Koninklijke Dsm Nv
EP1338210,application/dairy products,8/27/03,2003,60,E.i. Du Pont De Nemours & Company
EP1331857,,3/2/05,2005,10,"Cargill, Incorporated"
WO03055329,,7/10/03,2003,0,Archer Daniels Midland Company
EP1325680,Application/Dairy Products,7/9/03,2003,30,Nestle Sa
EP1322183,,7/2/03,2003,0,The Procter & Gamble Company
EP1309249,soy/texture,3/29/06,2006,50,E.i. Du Pont De Nemours & Company
EP1308094,Application/Dairy Products,5/7/03,2003,10,Nestle Sa
EP1308096,,5/7/03,2003,40,"General Mills, Inc."
EP1306444,Soy/Defatting,5/2/03,2003,20,Koninklijke Dsm Nv
EP1303193,Soy/Defatting,4/23/03,2003,0,Nestle Sa
EP1304043,soy/deflavor,4/23/03,2003,0,Nestle Sa
EP1302111,Application/Athletic,4/16/03,2003,30,"Mondelez International, Inc."
EP1290951,,3/12/03,2003,0,Nestle Sa
WO03009695,,5/1/03,2003,10,Unilever N.v.
EP1252824,application/infant,10/30/02,2002,0,Abbott Laboratories
EP0278179,Application/Dairy Products,8/17/88,1988,20,"Fuji Oil Co., Ltd."
EP0265740,Application/Meat Products,5/4/88,1988,50,Nestle Sa
EP0265772,application/infant,5/4/88,1988,40,Abbott Laboratories
EP0239540,application/confection,9/30/87,1987,0,"Mondelez International, Inc."
EP0234773,,9/2/87,1987,0,Nestle Sa
EP0223484,,5/27/87,1987,0,Novo Nordisk Fonden
WO8700009,application/dressing,1/15/87,1987,10,"Mondelez International, Inc."
EP0187048,Application/Dressing,7/9/86,1986,0,Novo Nordisk Fonden
EP0181421,application/soy sauce,5/21/86,1986,0,"Ajinomoto Co., Inc."
EP0148600,soy/solubilize,7/17/85,1985,30,"Protein Polymer Technologies, Inc."
EP0144644,application/pasta,9/6/89,1989,60,The Procter & Gamble Company
EP0141615,soy/solubilize,5/15/85,1985,0,"Protein Polymer Technologies, Inc."
EP0141644,Application/Meat Products,5/15/85,1985,0,"Mondelez International, Inc."
EP0141645,Application/Meat Products,5/15/85,1985,0,"Mondelez International, Inc."
EP0132506,Application/Dairy Products,2/13/85,1985,30,Nestle Sa
EP0131075,Application/Meat Products,1/16/85,1985,0,"Ajinomoto Co., Inc."
EP0124165,soy/solubilize,11/7/84,1984,0,The Procter & Gamble Company
EP0123346,,10/31/84,1984,0,The Procter & Gamble Company
EP0120705,Application/Athletic,10/3/84,1984,30,"Mondelez International, Inc."
EP0117047,soy/deflavor,8/29/84,1984,0,"Mondelez International, Inc."
EP0108594,application/dressing,5/16/84,1984,10,"Mondelez International, Inc."
EP0092273,,10/26/83,1983,0,The Procter & Gamble Company
EP0087522,,9/7/83,1983,0,Nestle Sa
EP0086032,,8/17/83,1983,10,"Mondelez International, Inc."
EP0077775,soy/solubilize,5/4/83,1983,0,"Mondelez International, Inc."
WO8203750,soy/solubilize,11/11/82,1982,0,"Mondelez International, Inc."
EP0057989,Application/Meat Products,8/18/82,1982,0,Unilever N.v.
EP0037209,application/pasta,10/7/81,1981,0,"Mondelez International, Inc."
WO8102377,Application/Dairy Products,9/3/81,1981,30,"Mondelez International, Inc."
EP0034227,soy/texture,8/26/81,1981,10,"Mondelez International, Inc."
EP0031622,,7/8/81,1981,0,The Procter & Gamble Company
EP0017338,application/confection,10/15/80,1980,30,"Mondelez International, Inc."
EP0011479,,5/28/80,1980,40,"Mondelez International, Inc."
EP0001309,,4/4/79,1979,0,The Procter & Gamble Company
EP1711066,application/confection,10/18/06,2006,0,Archer Daniels Midland Company
EP1711073,Application/Meat Products,10/18/06,2006,0,Unilever N.v.
EP1716762,application/confection,11/2/06,2006,10,Unilever N.v.
EP1716764,soy/deflavor,11/2/06,2006,10,"Mondelez International, Inc."
EP1716768,application/dressing,11/2/06,2006,0,Nestle Sa
EP1723856,Application/Meat Products,11/22/06,2006,10,"Cargill, Incorporated"
WO2006122734,Application/Meat Products,11/23/06,2006,0,"Cargill, Incorporated"
EP1736059,application/confection,12/27/06,2006,30,"Fuji Oil Co., Ltd."
WO2006132909,,12/14/06,2006,0,E.i. Du Pont De Nemours & Company
WO2007002450,soy/deflavor,1/4/07,2007,10,E.i. Du Pont De Nemours & Company
EP1743530,application/dressing,1/17/07,2007,10,Unilever N.v.
WO2007007190,application/dressing,1/18/07,2007,0,E.i. Du Pont De Nemours & Company
WO2007008385,Application/Athletic,1/18/07,2007,10,Archer Daniels Midland Company
WO2007009536,application/dressing,1/25/07,2007,10,Unilever N.v.
WO2007011948,application/confection,1/25/07,2007,20,E.i. Du Pont De Nemours & Company
WO2007011949,Application/Dairy Products,1/25/07,2007,0,E.i. Du Pont De Nemours & Company
WO2007015854,Application/Dairy Products,2/8/07,2007,0,Novo Nordisk Fonden
WO2007017024,application/dressing,2/15/07,2007,0,Unilever N.v.
WO2007021959,,2/22/07,2007,0,"Cargill, Incorporated"
WO2007008384,application/dressing,1/18/07,2007,60,Koninklijke Dsm Nv
WO2007025755,application/confection,3/8/07,2007,20,Nestle Sa
WO2007026427,application/soy sauce,3/8/07,2007,0,Kikkoman Corporation
EP1757189,application/infant,2/28/07,2007,20,"Mondelez International, Inc."
US7169425,Application/Dairy Products,1/30/07,2007,50,E.i. Du Pont De Nemours & Company
US7175869,soy/deflavor,2/13/07,2007,30,"Mondelez International, Inc."
US20060263481,application/confection,11/23/06,2006,20,Mars Inc
US20060286269,soy/defatting,12/21/06,2006,30,"Mondelez International, Inc."
US20060292273,soy/texture,12/28/06,2006,10,E.i. Du Pont De Nemours & Company
US20060292284,soy/deflavor,12/28/06,2006,30,E.i. Du Pont De Nemours & Company
US20070014909,Application/Dairy Products,1/18/07,2007,40,E.i. Du Pont De Nemours & Company
US20070014914,,1/18/07,2007,80,Archer Daniels Midland Company
US20070031542,soy/deflavor,2/8/07,2007,30,E.i. Du Pont De Nemours & Company
US20070031577,,2/8/07,2007,0,E.i. Du Pont De Nemours & Company
US20070042103,soy/solubilize,2/22/07,2007,30,E.i. Du Pont De Nemours & Company
US20070042104,Application/Dairy Products,2/22/07,2007,20,E.i. Du Pont De Nemours & Company
US20070042106,Application/Athletic,2/22/07,2007,20,E.i. Du Pont De Nemours & Company
US20070042107,Application/Athletic,2/22/07,2007,30,E.i. Du Pont De Nemours & Company
US20070048431,,3/1/07,2007,60,Nestle Sa
US20070059431,Application/Meat Products,3/15/07,2007,60,"Cargill, Incorporated"
US20070077345,soy/texture,4/5/07,2007,30,Archer Daniels Midland Company
US20070087082,Application/Dairy Products,4/19/07,2007,0,"Ajinomoto Co., Inc."
US20070087107,soy/deflavor,4/19/07,2007,10,Archer Daniels Midland Company
WO2007040048,application/soy sauce,4/12/07,2007,0,"Fuji Oil Co., Ltd."
WO2007041470,soy/texture,4/12/07,2007,20,Archer Daniels Midland Company
US20070092616,soy/texture,4/26/07,2007,30,E.i. Du Pont De Nemours & Company
US20070092630,Application/Meat Products,4/26/07,2007,10,E.i. Du Pont De Nemours & Company
EP1778030,Application/Meat Products,5/2/07,2007,0,E.i. Du Pont De Nemours & Company
WO2007043114,application/soy sauce,4/19/07,2007,0,Kikkoman Corporation
WO2007044943,soy/deflavor,4/19/07,2007,30,Archer Daniels Midland Company
US7214396,application/confection,5/8/07,2007,80,Nestle Sa
EP1782697,soy/deflavor,5/9/07,2007,0,"Mondelez International, Inc."
EP1784080,Application/Dairy Products,5/16/07,2007,0,E.i. Du Pont De Nemours & Company
EP1785041,,5/16/07,2007,0,Unilever N.v.
WO2007050306,soy/texture,5/3/07,2007,10,E.i. Du Pont De Nemours & Company
WO2007050328,soy/texture,5/3/07,2007,10,E.i. Du Pont De Nemours & Company
WO2007050534,Application/Meat Products,5/3/07,2007,0,E.i. Du Pont De Nemours & Company
WO2007050535,soy/texture,5/3/07,2007,0,E.i. Du Pont De Nemours & Company
WO2007054199,Application/Meat Products,5/18/07,2007,0,Unilever N.v.
WO2007051629,Application/Weight Control,5/10/07,2007,10,Nestle Sa
US7223437,soy/deflavor,5/29/07,2007,50,Archer Daniels Midland Company
EP1788889,,5/30/07,2007,0,"Pepsico, Inc."
EP1788895,application/pasta,5/30/07,2007,0,The Procter & Gamble Company
EP1790232,,5/30/07,2007,10,Mars Inc
US20070128340,soy/texture,6/7/07,2007,20,Archer Daniels Midland Company
EP1792543,,6/6/07,2007,10,Unilever N.v.
EP1792544,application/dressing,6/6/07,2007,10,Unilever N.v.
WO2007059840,,5/31/07,2007,0,Unilever N.v.
WO2007058061,application/soy sauce,5/24/07,2007,0,Kikkoman Corporation
US7229659,soy/texture,6/12/07,2007,60,E.i. Du Pont De Nemours & Company
WO2007062723,Application/Dairy Products,6/7/07,2007,0,Unilever N.v.
US20070141223,Application/Weight Control,6/21/07,2007,80,E.i. Du Pont De Nemours & Company
US20070141227,soy/deflavor,6/21/07,2007,60,"Pepsico, Inc."
WO2007066437,application/soy sauce,6/14/07,2007,0,Kikkoman Corporation
US7235276,soy/deflavor,6/26/07,2007,90,"General Mills, Inc."
US20070148302,Application/Pasta,6/28/07,2007,30,"Mondelez International, Inc."
US20070148323,Application/Meat Products,6/28/07,2007,20,Nestle Sa
